TITLE="plot"
VARIABLES="x", "y", "z"
ZONE T="f", I=100, J=100, F=POINT
6.09469 0.442646 1.2396e-09
6.15752 0.442646 8.43558e-10
6.22036 0.442646 5.71786e-10
0 0.505478 0.140067
0.0628319 0.505478 0.139791
0.125664 0.505478 0.138966
0.188496 0.505478 0.137601
0.251327 0.505478 0.135713
0.314159 0.505478 0.133323
0.376991 0.505478 0.13046
0.439823 0.505478 0.127154
0.502655 0.505478 0.123445
0.565487 0.505478 0.119371
0.628319 0.505478 0.114977
0.69115 0.505478 0.110308
0.753982 0.505478 0.105412
0.816814 0.505478 0.100337
0.879646 0.505478 0.0951292
0.942478 0.505478 0.0898366
1.00531 0.505478 0.0845041
1.06814 0.505478 0.079175
1.13097 0.505478 0.0738897
1.19381 0.505478 0.0686855
1.25664 0.505478 0.0635963
1.31947 0.505478 0.0586522
