TITLE="sinsin"
VARIABLES="x", "y", "z"
ZONE T="sin(x)sin(y)", I=100, J=100, F=POINT
1.13097 0.188496 0.169548
1.19381 0.188496 0.174223
1.25664 0.188496 0.17821
1.31947 0.188496 0.181494
1.3823 0.188496 0.184062
1.44513 0.188496 0.185904
1.50796 0.188496 0.187012
1.5708 0.188496 0.187381
1.63363 0.188496 0.187012
1.69646 0.188496 0.185904
1.75929 0.188496 0.184062
1.82212 0.188496 0.181494
1.88496 0.188496 0.17821
1.94779 0.188496 0.174223
2.01062 0.188496 0.169548
2.07345 0.188496 0.164203
2.13628 0.188496 0.158211
2.19912 0.188496 0.151595
2.26195 0.188496 0.14438
2.32478 0.188496 0.136595
2.38761 0.188496 0.128271
2.45044 0.188496 0.119441
2.51327 0.188496 0.11014
2.57611 0.188496 0.100404
2.63894 0.188496 0.0902715
2.70177 0.188496 0.0797829
2.7646 0.188496 0.0689795
2.82743 0.188496 0.0579039
2.89027 0.188496 0.0465997
2.9531 0.188496 0.0351116
3.01593 0.188496 0.0234849
3.07876 0.188496 0.0117656
3.14159 0.188496 -1.95082e-07
3.20443 0.188496 -0.011766
3.26726 0.188496 -0.0234853
3.33009 0.188496 -0.035112
3.39292 0.188496 -0.0466
3.45575 0.188496 -0.0579042
3.51858 0.188496 -0.0689799
3.58142 0.188496 -0.0797833
3.64425 0.188496 -0.0902718
3.70708 0.188496 -0.100404
3.76991 0.188496 -0.11014
3.83274 0.188496 -0.119442
3.89558 0.188496 -0.128272
3.95841 0.188496 -0.136595
4.02124 0.188496 -0.14438
4.08407 0.188496 -0.151595
4.1469 0.188496 -0.158211
4.20974 0.188496 -0.164204
4.27257 0.188496 -0.169548
4.3354 0.188496 -0.174223
4.39823 0.188496 -0.17821
4.46106 0.188496 -0.181494
4.52389 0.188496 -0.184062
4.58673 0.188496 -0.185904
4.64956 0.188496 -0.187012
4.71239 0.188496 -0.187381
4.77522 0.188496 -0.187012
4.83805 0.188496 -0.185904
4.90089 0.188496 -0.184062
4.96372 0.188496 -0.181494
5.02655 0.188496 -0.17821
5.08938 0.188496 -0.174223
5.15221 0.188496 -0.169548
5.21505 0.188496 -0.164203
5.27788 0.188496 -0.158211
5.34071 0.188496 -0.151594
5.40354 0.188496 -0.14438
5.46637 0.188496 -0.136595
5.5292 0.188496 -0.128271
5.59204 0.188496 -0.119441
5.65487 0.188496 -0.11014
5.7177 0.188496 -0.100404
5.78053 0.188496 -0.0902713
5.84336 0.188496 -0.0797828
5.9062 0.188496 -0.0689793
5.96903 0.188496 -0.0579037
6.03186 0.188496 -0.0465995
6.09469 0.188496 -0.0351114
6.15752 0.188496 -0.0234847
6.22036 0.188496 -0.0117654
0 0.251327 0
0.0628319 0.251327 0.0156154
0.125664 0.251327 0.0311691
0.188496 0.251327 0.0465998
0.251327 0.251327 0.0618467
0.314159 0.251327 0.0768494
0.376991 0.251327 0.0915489
0.439823 0.251327 0.105887
0.502655 0.251327 0.119807
0.565487 0.251327 0.133255
0.628319 0.251327 0.146176
0.69115 0.251327 0.158521
0.753982 0.251327 0.17024
0.816814 0.251327 0.181287
0.879646 0.251327 0.191619
0.942478 0.251327 0.201194
1.00531 0.251327 0.209976
1.06814 0.251327 0.217929
1.13097 0.251327 0.225021
1.19381 0.251327 0.231226
1.25664 0.251327 0.236518
1.31947 0.251327 0.240877
1.3823 0.251327 0.244285
1.44513 0.251327 0.246729
1.50796 0.251327 0.248199
1.5708 0.251327 0.24869
1.63363 0.251327 0.248199
1.69646 0.251327 0.246729
1.75929 0.251327 0.244285
1.82212 0.251327 0.240877
1.88496 0.251327 0.236518
1.94779 0.251327 0.231226
2.01062 0.251327 0.225021
2.07345 0.251327 0.217929
2.13628 0.251327 0.209976
2.19912 0.251327 0.201194
2.26195 0.251327 0.191619
2.32478 0.251327 0.181287
2.38761 0.251327 0.17024
2.45044 0.251327 0.158521
2.51327 0.251327 0.146176
2.57611 0.251327 0.133255
2.63894 0.251327 0.119807
2.70177 0.251327 0.105887
2.7646 0.251327 0.0915487
2.82743 0.251327 0.0768492
2.89027 0.251327 0.0618464
2.9531 0.251327 0.0465996
3.01593 0.251327 0.0311689
3.07876 0.251327 0.0156151
3.14159 0.251327 -2.5891e-07
3.20443 0.251327 -0.0156156
3.26726 0.251327 -0.0311694
3.33009 0.251327 -0.0466001
3.39292 0.251327 -0.0618469
3.45575 0.251327 -0.0768497
3.51858 0.251327 -0.0915491
3.58142 0.251327 -0.105887
3.64425 0.251327 -0.119808
3.70708 0.251327 -0.133255
3.76991 0.251327 -0.146177
3.83274 0.251327 -0.158521
3.89558 0.251327 -0.17024
3.95841 0.251327 -0.181287
4.02124 0.251327 -0.191619
4.08407 0.251327 -0.201195
4.1469 0.251327 -0.209976
4.20974 0.251327 -0.217929
4.27257 0.251327 -0.225021
4.3354 0.251327 -0.231226
4.39823 0.251327 -0.236518
4.46106 0.251327 -0.240877
4.52389 0.251327 -0.244285
4.58673 0.251327 -0.246729
4.64956 0.251327 -0.248199
4.71239 0.251327 -0.24869
4.77522 0.251327 -0.248199
4.83805 0.251327 -0.246729
4.90089 0.251327 -0.244285
4.96372 0.251327 -0.240877
5.02655 0.251327 -0.236518
5.08938 0.251327 -0.231226
5.15221 0.251327 -0.225021
5.21505 0.251327 -0.217928
5.27788 0.251327 -0.209976
5.34071 0.251327 -0.201194
5.40354 0.251327 -0.191619
5.46637 0.251327 -0.181287
5.5292 0.251327 -0.17024
5.59204 0.251327 -0.158521
5.65487 0.251327 -0.146176
5.7177 0.251327 -0.133254
5.78053 0.251327 -0.119807
5.84336 0.251327 -0.105887
5.9062 0.251327 -0.0915484
5.96903 0.251327 -0.0768489
6.03186 0.251327 -0.0618462
6.09469 0.251327 -0.0465994
6.15752 0.251327 -0.0311686
6.22036 0.251327 -0.0156149
0 0.314159 0
0.0628319 0.314159 0.0194033
0.125664 0.314159 0.0387301
0.188496 0.314159 0.057904
0.251327 0.314159 0.0768494
0.314159 0.314159 0.0954915
0.376991 0.314159 0.113757
0.439823 0.314159 0.131573
0.502655 0.314159 0.14887
0.565487 0.314159 0.16558
0.628319 0.314159 0.181636
0.69115 0.314159 0.196975
0.753982 0.314159 0.211537
0.816814 0.314159 0.225264
0.879646 0.314159 0.238102
0.942478 0.314159 0.25
1.00531 0.314159 0.260912
1.06814 0.314159 0.270794
1.13097 0.314159 0.279607
1.19381 0.314159 0.287317
1.25664 0.314159 0.293893
1.31947 0.314159 0.299309
1.3823 0.314159 0.303543
1.44513 0.314159 0.30658
1.50796 0.314159 0.308407
1.5708 0.314159 0.309017
1.63363 0.314159 0.308407
1.69646 0.314159 0.30658
1.75929 0.314159 0.303543
1.82212 0.314159 0.299309
1.88496 0.314159 0.293893
1.94779 0.314159 0.287317
2.01062 0.314159 0.279607
2.07345 0.314159 0.270794
2.13628 0.314159 0.260912
2.19912 0.314159 0.25
2.26195 0.314159 0.238102
2.32478 0.314159 0.225264
2.38761 0.314159 0.211537
2.45044 0.314159 0.196975
2.51327 0.314159 0.181635
2.57611 0.314159 0.165579
2.63894 0.314159 0.14887
2.70177 0.314159 0.131573
2.7646 0.314159 0.113756
2.82743 0.314159 0.0954912
2.89027 0.314159 0.0768491
2.9531 0.314159 0.0579037
3.01593 0.314159 0.0387298
3.07876 0.314159 0.019403
3.14159 0.314159 -3.21717e-07
3.20443 0.314159 -0.0194037
3.26726 0.314159 -0.0387304
3.33009 0.314159 -0.0579044
3.39292 0.314159 -0.0768497
3.45575 0.314159 -0.0954918
3.51858 0.314159 -0.113757
3.58142 0.314159 -0.131573
3.64425 0.314159 -0.14887
3.70708 0.314159 -0.16558
3.76991 0.314159 -0.181636
3.83274 0.314159 -0.196975
3.89558 0.314159 -0.211537
3.95841 0.314159 -0.225264
4.02124 0.314159 -0.238102
4.08407 0.314159 -0.25
4.1469 0.314159 -0.260912
4.20974 0.314159 -0.270794
4.27257 0.314159 -0.279607
4.3354 0.314159 -0.287317
4.39823 0.314159 -0.293893
4.46106 0.314159 -0.299309
4.52389 0.314159 -0.303544
4.58673 0.314159 -0.30658
4.64956 0.314159 -0.308407
4.71239 0.314159 -0.309017
